y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],x
1972-09-28,12.2,6.7,6.26,6.92,7.58,7.86,8.08,None,None,None,None,6-month
1972-10-28,6.86,7.04,7.68,7.96,8.19,8.29,8.36,None,None,None,None,1-year
1972-11-28,13.64,9.09,7.88,7.99,8.29,8.43,8.55,None,None,None,None,2-year
1972-12-28,5.26,6.92,8.07,8.26,8.34,8.5,8.73,None,None,None,None,3-year
1973-01-28,6.18,6.42,7.32,7.87,8.33,8.55,8.84,None,None,None,None,5-year
1973-02-28,9.92,7.05,7.25,7.82,8.24,8.4,8.62,None,None,None,None,7-year
1973-03-28,6.27,6.97,7.82,8.23,8.48,8.56,8.74,None,None,None,None,10-year
1973-04-28,6.13,8.33,8.69,8.66,8.73,8.78,8.82,None,None,None,None,15-year
1973-05-28,8.57,8.95,9.33,9.41,9.46,9.51,9.62,None,None,None,None,20-year
1973-06-28,15.01,10.61,9.1,9.18,9.48,9.67,9.85,None,None,None,None,25-year
1973-07-28,10.0,10.21,10.25,10.12,9.89,9.83,9.87,None,None,None,None,30-year
1973-08-28,8.84,9.15,9.3,9.35,9.39,9.41,9.42,None,None,None,None,
1973-09-28,9.24,9.36,9.48,9.52,9.55,9.57,9.58,None,None,None,None,
1973-10-28,6.22,8.84,9.24,9.31,9.36,9.39,9.41,None,None,None,None,
1973-11-28,10.7,10.19,9.6,9.35,9.31,9.45,9.67,None,None,None,None,
1973-12-28,11.31,10.39,9.48,9.21,9.3,9.55,9.83,None,None,None,None,
1974-01-28,9.48,9.37,9.26,9.24,9.34,9.49,9.65,None,None,None,None,
1974-02-28,10.66,10.43,10.14,10.02,10.04,10.21,10.52,None,None,None,None,
1974-03-28,10.03,10.05,9.99,9.98,10.12,10.31,10.52,None,None,None,None,
1974-04-28,9.98,10.04,10.02,10.01,10.11,10.27,10.46,None,None,None,None,
1974-05-28,8.14,8.8,9.87,10.25,10.55,10.68,10.78,None,None,None,None,
1974-06-28,13.25,9.89,9.57,9.83,10.29,10.71,11.22,None,None,None,None,
1974-07-28,9.48,9.49,9.63,9.85,10.36,10.8,11.3,None,None,None,None,
1974-08-28,9.69,9.69,9.79,9.95,10.33,10.71,11.17,None,None,None,None,
1974-09-28,9.73,9.7,9.78,9.97,10.41,10.78,11.17,None,None,None,None,
1974-10-28,9.16,9.32,9.63,9.92,10.39,10.7,10.97,None,None,None,None,
1974-11-28,8.91,8.73,8.84,9.14,9.74,10.13,10.48,None,None,None,None,
1974-12-28,8.7,8.65,8.77,9.01,9.45,9.76,10.04,None,None,None,None,
1975-01-28,7.84,7.48,7.56,7.96,8.68,9.12,9.49,None,None,None,None,
1975-02-28,6.5,6.5,6.93,7.49,8.41,8.98,9.46,None,None,None,None,
1975-03-28,6.32,6.42,6.95,7.55,8.49,9.07,9.57,None,None,None,None,
1975-04-28,5.26,5.94,6.59,7.27,8.21,8.69,9.06,None,None,None,None,
1975-05-28,5.25,5.58,6.3,6.99,8.02,8.58,8.77,None,None,None,None,
1975-06-28,5.23,5.69,6.49,7.13,8.03,8.51,8.74,None,None,None,None,
1975-07-28,4.9,5.42,6.33,7.05,8.02,8.51,8.71,None,None,None,None,
1975-08-28,4.45,5.34,6.38,7.1,8.02,8.48,8.71,None,None,None,None,
1975-09-28,5.15,5.57,6.43,7.13,8.01,8.48,8.85,None,None,None,None,
1975-10-28,7.56,6.25,6.48,7.31,8.29,8.74,9.09,None,None,None,None,
1975-11-28,5.8,5.92,6.51,7.21,8.25,8.67,8.6,None,None,None,None,
