temp_c,rh_pct,wind_ms,wind_dir_deg,cloud_pct,precip_mm,datetime
7.19,61.52,1.43,351.5,95.34,0.0,2025-01-01 00:00:00
6.94,61.29,1.45,349.2,98.87,0.0,2025-01-01 01:00:00
6.78,60.84,1.46,344.1,86.89,0.0,2025-01-01 02:00:00
6.56,60.78,1.51,343.5,94.81,0.0,2025-01-01 03:00:00
6.44,60.14,1.55,343.9,98.26,0.0,2025-01-01 04:00:00
6.35,59.23,1.52,342.8,95.39,0.0,2025-01-01 05:00:00
6.33,57.88,1.47,343.4,96.59,0.0,2025-01-01 06:00:00
8.47,55.04,1.33,344.3,98.79,0.0,2025-01-01 07:00:00
13.78,44.59,1.64,332.8,98.65,0.0,2025-01-01 08:00:00
16.95,30.87,2.44,311.7,98.71,0.0,2025-01-01 09:00:00
19.43,25.4,3.72,307.4,98.34,0.0,2025-01-01 10:00:00
20.84,23.26,4.62,308.0,99.81,0.0,2025-01-01 11:00:00
21.43,22.78,5.09,310.7,99.77,0.0,2025-01-01 12:00:00
21.46,23.14,5.08,312.6,95.0,0.0,2025-01-01 13:00:00
20.63,25.11,5.02,311.6,87.97,0.0,2025-01-01 14:00:00
19.01,29.46,4.31,311.2,81.01,0.0,2025-01-01 15:00:00
15.46,39.98,2.96,313.2,74.2,0.0,2025-01-01 16:00:00
12.83,46.49,2.59,325.2,62.26,0.0,2025-01-01 17:00:00
11.74,50.29,2.14,335.7,83.43,0.0,2025-01-01 18:00:00
11.15,53.12,1.76,336.6,97.66,0.0,2025-01-01 19:00:00
11.01,53.86,1.67,332.5,95.42,0.0,2025-01-01 20:00:00
11.02,53.59,1.72,333.0,97.7,0.0,2025-01-01 21:00:00
10.99,53.69,1.75,337.1,97.76,0.0,2025-01-01 22:00:00
10.76,54.38,1.74,339.8,98.84,0.0,2025-01-01 23:00:00
10.59,54.36,1.75,339.6,99.4,0.0,2025-01-02 00:00:00
10.52,53.99,1.77,339.5,94.09,0.0,2025-01-02 01:00:00
10.45,53.6,1.76,341.8,90.9,0.0,2025-01-02 02:00:00
10.4,52.9,1.72,342.1,85.79,0.0,2025-01-02 03:00:00
10.67,51.94,1.67,340.4,84.65,0.0,2025-01-02 04:00:00
10.99,51.21,1.64,337.4,84.06,0.0,2025-01-02 05:00:00
10.77,51.29,1.67,334.8,83.54,0.0,2025-01-02 06:00:00
12.17,49.85,1.79,331.6,88.37,0.0,2025-01-02 07:00:00
16.43,41.42,2.61,327.3,91.63,0.0,2025-01-02 08:00:00
19.07,33.06,3.27,322.6,93.86,0.0,2025-01-02 09:00:00
21.66,27.7,4.2,320.9,95.88,0.0,2025-01-02 10:00:00
23.3,25.11,4.52,316.3,98.44,0.0,2025-01-02 11:00:00
24.06,24.48,4.47,315.2,99.46,0.0,2025-01-02 12:00:00
23.18,27.09,4.08,312.9,99.53,0.0,2025-01-02 13:00:00
21.81,31.86,3.44,311.3,99.48,0.0,2025-01-02 14:00:00
19.78,40.44,2.51,306.7,99.87,0.0,2025-01-02 15:00:00
16.98,47.89,2.08,309.0,100.0,0.0,2025-01-02 16:00:00
14.9,53.0,1.83,317.9,100.0,0.0,2025-01-02 17:00:00
14.33,54.92,1.64,331.3,100.0,0.0,2025-01-02 18:00:00
13.92,56.6,1.37,340.0,99.81,0.0,2025-01-02 19:00:00
13.81,56.42,1.18,340.6,99.68,0.0,2025-01-02 20:00:00
13.8,55.09,1.13,335.9,99.78,0.0,2025-01-02 21:00:00
13.55,55.0,1.11,340.6,100.0,0.0,2025-01-02 22:00:00
13.42,54.36,1.14,347.8,100.0,0.0,2025-01-02 23:00:00
13.54,52.63,1.16,349.1,100.0,0.0,2025-01-03 00:00:00
13.62,50.96,1.15,346.4,100.0,0.0,2025-01-03 01:00:00
13.75,48.94,1.09,349.4,100.0,0.0,2025-01-03 02:00:00
14.12,46.33,0.97,359.4,100.0,0.0,2025-01-03 03:00:00
14.45,44.51,0.81,12.8,100.0,0.0,2025-01-03 04:00:00
15.48,39.91,0.72,28.0,100.0,0.0,2025-01-03 05:00:00
15.69,39.14,0.58,54.1,100.0,0.0,2025-01-03 06:00:00
15.61,41.03,0.58,89.0,100.0,0.0,2025-01-03 07:00:00
16.53,46.79,0.49,111.4,99.98,0.0,2025-01-03 08:00:00
18.11,39.69,0.48,127.3,99.35,0.0,2025-01-03 09:00:00
20.09,35.61,0.57,273.0,97.92,0.0,2025-01-03 10:00:00
22.13,32.38,1.4,290.1,99.35,0.0,2025-01-03 11:00:00
23.7,30.15,1.94,297.4,98.75,0.0,2025-01-03 12:00:00
24.47,29.21,2.2,300.7,76.22,0.0,2025-01-03 13:00:00
24.31,30.85,2.05,302.1,78.0,0.0,2025-01-03 14:00:00
22.84,39.89,1.29,298.8,79.69,0.0,2025-01-03 15:00:00
18.57,54.05,1.01,290.2,81.48,0.0,2025-01-03 16:00:00
15.93,54.8,1.14,297.0,81.21,0.0,2025-01-03 17:00:00
14.96,56.89,1.06,310.8,61.3,0.0,2025-01-03 18:00:00
14.28,58.05,1.01,322.7,26.73,0.0,2025-01-03 19:00:00
13.72,58.73,1.04,329.5,60.81,0.0,2025-01-03 20:00:00
13.1,59.83,1.17,334.1,72.17,0.0,2025-01-03 21:00:00
12.47,60.96,1.3,339.8,88.63,0.0,2025-01-03 22:00:00
11.99,60.89,1.38,348.3,88.62,0.0,2025-01-03 23:00:00
11.87,58.45,1.38,356.3,83.07,0.0,2025-01-04 00:00:00
12.1,54.37,1.37,359.2,71.44,0.0,2025-01-04 01:00:00
12.67,49.4,1.36,0.4,81.29,0.0,2025-01-04 02:00:00
13.38,44.32,1.35,2.1,88.66,0.0,2025-01-04 03:00:00
14.11,39.57,1.33,4.7,91.49,0.0,2025-01-04 04:00:00
15.0,34.65,1.28,8.1,91.52,0.0,2025-01-04 05:00:00
15.62,31.06,1.13,5.6,89.19,0.0,2025-01-04 06:00:00
17.19,29.7,0.95,1.2,92.76,0.0,2025-01-04 07:00:00
20.3,38.46,0.62,356.3,94.56,0.0,2025-01-04 08:00:00
23.28,24.68,0.74,310.6,96.39,0.0,2025-01-04 09:00:00
25.6,21.57,1.41,272.0,98.43,0.0,2025-01-04 10:00:00
27.28,20.5,2.01,267.4,88.7,0.0,2025-01-04 11:00:00
27.68,20.92,2.31,267.5,79.83,0.0,2025-01-04 12:00:00
27.66,21.8,2.34,271.2,56.73,0.0,2025-01-04 13:00:00
26.9,24.16,1.96,278.5,57.04,0.0,2025-01-04 14:00:00
24.97,33.15,1.13,287.0,57.52,0.0,2025-01-04 15:00:00
